sensor_id,city,zone,pm25,pm10,co2,temperature,humidity,wind_speed,aqi,severity,recorded_at
PKS_KHI_IND_01,Karachi,Industrial,116,192,646,32,64,60,116,UNHEALTHY,2026-07-12 01:10:09.533207
PKS_KHI_TRF_02,Karachi,Traffic,73,82,542,33,73,60,73,MODERATE,2026-07-12 01:10:09.534568
PKS_LHR_RES_01,Lahore,Residential,46,61,441,38,76,31,46,GOOD,2026-07-12 01:10:09.535610
PKS_LHR_IND_02,Lahore,Industrial,114,206,866,34,86,56,114,UNHEALTHY,2026-07-12 01:10:09.536610
PKS_ISB_PRK_01,Islamabad,Park,12,45,419,24,80,47,12,GOOD,2026-07-12 01:10:09.537666
PKS_ISB_TRF_02,Islamabad,Traffic,55,95,666,29,66,3,55,MODERATE,2026-07-12 01:10:09.539633
PKS_PEW_IND_01,Peshawar,Industrial,114,158,863,36,20,16,114,UNHEALTHY,2026-07-12 01:10:09.541528
PKS_PEW_RES_02,Peshawar,Residential,50,130,472,34,21,53,50,GOOD,2026-07-12 01:10:09.544028
PKS_MUL_TRF_01,Multan,Traffic,80,139,542,30,72,5,80,MODERATE,2026-07-12 01:10:09.545691
PKS_MUL_PRK_02,Multan,Park,8,107,425,26,45,57,8,GOOD,2026-07-12 01:10:09.546670
PKS_KHI_IND_01,Karachi,Industrial,95,115,889,38,40,53,95,MODERATE,2026-07-12 01:10:19.548987
PKS_KHI_TRF_02,Karachi,Traffic,67,79,586,34,42,12,67,MODERATE,2026-07-12 01:10:19.552523
PKS_LHR_RES_01,Lahore,Residential,37,87,460,25,75,6,37,GOOD,2026-07-12 01:10:19.558189
PKS_LHR_IND_02,Lahore,Industrial,109,194,844,34,41,23,109,UNHEALTHY,2026-07-12 01:10:19.574156
PKS_ISB_PRK_01,Islamabad,Park,13,88,421,32,32,32,13,GOOD,2026-07-12 01:10:19.586919
PKS_ISB_TRF_02,Islamabad,Traffic,78,103,545,34,70,27,78,MODERATE,2026-07-12 01:10:19.589571
PKS_PEW_IND_01,Peshawar,Industrial,106,178,726,30,77,34,106,UNHEALTHY,2026-07-12 01:10:19.591127
PKS_PEW_RES_02,Peshawar,Residential,36,51,430,31,63,2,36,GOOD,2026-07-12 01:10:19.592179
PKS_MUL_TRF_01,Multan,Traffic,58,61,673,38,80,33,58,MODERATE,2026-07-12 01:10:19.593313
PKS_MUL_PRK_02,Multan,Park,8,21,402,28,45,44,8,GOOD,2026-07-12 01:10:19.594681
PKS_KHI_IND_01,Karachi,Industrial,106,134,874,32,57,38,106,UNHEALTHY,2026-07-12 01:10:29.599882
PKS_KHI_TRF_02,Karachi,Traffic,66,144,653,31,64,50,66,MODERATE,2026-07-12 01:10:29.601247
PKS_LHR_RES_01,Lahore,Residential,41,45,467,31,65,21,41,GOOD,2026-07-12 01:10:29.602355
PKS_LHR_IND_02,Lahore,Industrial,106,155,729,41,39,34,106,UNHEALTHY,2026-07-12 01:10:29.603384
PKS_ISB_PRK_01,Islamabad,Park,15,71,421,25,40,53,15,GOOD,2026-07-12 01:10:29.604417
PKS_ISB_TRF_02,Islamabad,Traffic,73,110,653,39,71,20,73,MODERATE,2026-07-12 01:10:29.606294
PKS_PEW_IND_01,Peshawar,Industrial,91,163,895,30,60,28,91,MODERATE,2026-07-12 01:10:29.608593
PKS_PEW_RES_02,Peshawar,Residential,40,62,450,26,22,55,40,GOOD,2026-07-12 01:10:29.610719
PKS_MUL_TRF_01,Multan,Traffic,71,72,686,34,82,2,71,MODERATE,2026-07-12 01:10:29.613874
PKS_MUL_PRK_02,Multan,Park,13,19,416,25,21,28,13,GOOD,2026-07-12 01:10:29.614921
PKS_KHI_IND_01,Karachi,Industrial,103,168,883,33,50,57,103,UNHEALTHY,2026-07-12 01:10:39.617357
PKS_KHI_TRF_02,Karachi,Traffic,78,121,687,39,72,7,78,MODERATE,2026-07-12 01:10:39.618994
PKS_LHR_RES_01,Lahore,Residential,43,140,478,36,77,5,43,GOOD,2026-07-12 01:10:39.620501
PKS_LHR_IND_02,Lahore,Industrial,97,170,841,36,31,51,97,MODERATE,2026-07-12 01:10:39.622057
PKS_ISB_PRK_01,Islamabad,Park,20,100,425,32,62,25,20,GOOD,2026-07-12 01:10:39.624506
PKS_ISB_TRF_02,Islamabad,Traffic,58,109,576,28,58,6,58,MODERATE,2026-07-12 01:10:39.628023
PKS_PEW_IND_01,Peshawar,Industrial,108,127,783,35,37,23,108,UNHEALTHY,2026-07-12 01:10:39.636369
PKS_PEW_RES_02,Peshawar,Residential,30,81,425,30,62,1,30,GOOD,2026-07-12 01:10:39.638605
PKS_MUL_TRF_01,Multan,Traffic,60,92,576,30,39,59,60,MODERATE,2026-07-12 01:10:39.640268
PKS_MUL_PRK_02,Multan,Park,18,38,416,33,47,14,18,GOOD,2026-07-12 01:10:39.641852
PKS_KHI_IND_01,Karachi,Industrial,86,140,858,39,71,2,86,MODERATE,2026-07-12 01:10:49.645449
PKS_KHI_TRF_02,Karachi,Traffic,67,136,665,33,24,60,67,MODERATE,2026-07-12 01:10:49.646985
PKS_LHR_RES_01,Lahore,Residential,34,50,457,31,53,32,34,GOOD,2026-07-12 01:10:49.648117
PKS_LHR_IND_02,Lahore,Industrial,100,177,722,30,90,40,100,MODERATE,2026-07-12 01:10:49.649250
PKS_ISB_PRK_01,Islamabad,Park,15,78,417,23,70,58,15,GOOD,2026-07-12 01:10:49.650968
PKS_ISB_TRF_02,Islamabad,Traffic,62,92,544,34,78,13,62,MODERATE,2026-07-12 01:10:49.652694
PKS_PEW_IND_01,Peshawar,Industrial,106,172,766,36,22,29,106,UNHEALTHY,2026-07-12 01:10:49.655471
PKS_PEW_RES_02,Peshawar,Residential,37,48,481,38,88,26,37,GOOD,2026-07-12 01:10:49.662289
